Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
truck_body,-0.067633,-0.0127,-0.00012836,0,0,0,0.32569,0.00034762,-9.1908E-22,-2.0837E-06,0.00092476,-3.9642E-21,0.00061217,0,0,0,0,0,0,package://Assem1/meshes/truck_body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/truck_body.STL,,chassis-3-2^Assem1-1,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_wheel,0,0,-0.0127,0,0,0,0.11583,4.8264E-05,0,7.8626E-38,4.8264E-05,-1.0831E-37,8.4072E-05,0,0,0,0,0,0,package://Assem1/meshes/front_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/front_wheel.STL,,front wheel-3-7^Assem1-1,front_wheel_coord,front_axis,front_wheel_cont,continuous,-0.127,-0.0127,0.0127,0,0,0,truck_body,0,0,1,0,0,,100,,,,,,,,
rear_left_wheel,0,0,-0.0127,0,0,0,0.11583,4.8264E-05,-8.1566E-53,7.1715E-22,4.8264E-05,-1.0831E-37,8.4072E-05,0,0,0,0,0,0,package://Assem1/meshes/rear_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/rear_left_wheel.STL,,rear wheel-3-5^Assem1-1,rear_left_coord,rear_left_axis,rear_left_wheel_cont,continuous,-0.0254,-0.021138,0.0762,0,0,0,truck_body,0,0,1,0,0,,100,,,,,,,,
rear_right_wheel,0,0,0.0127,0,0,0,0.11583,4.8264E-05,-8.1566E-53,7.1715E-22,4.8264E-05,-1.0831E-37,8.4072E-05,0,0,0,0,0,0,package://Assem1/meshes/rear_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/rear_right_wheel.STL,,rear wheel-3-5^Assem1-3,rear_right_coord,rear_right_axis,rear_right_wheel_cont,continuous,-0.0254,-0.021138,-0.0762,0,0,0,truck_body,0,0,1,0,0,,100,,,,,,,,
